TARGET_TYPE	TYPE_META_VER
oracle_exadata	13.4
oracle_exadata	13.42
oracle_exadata	13.51
oracle_exadata	13.51025
oracle_exadata	13.51039
oracle_exadata	13.51048
oracle_exadata_cloud_service	13.4
oracle_exadata_dbsys	1.1
oracle_exadata_dbsys	1.2
oracle_exadata_dbsys	1.3
oracle_exadata_grid	1.2
oracle_exadata_grid	1.3
oracle_exadata_grid	13.1
oracle_exadata_grid	13.41025
oracle_farsync	1.0
oracle_farsync	1.000734
oracle_farsync	13.31
oracle_farsync	13.32
oracle_farsync	13.40013
oracle_farsync	13.40048
oracle_federation	12.14
oracle_federation	12.15
oracle_federation	12.16
oracle_federation	13.20
oracle_federation_sys	1.1
oracle_forms	12.1040
oracle_home	2.0
oracle_home	2.6
oracle_hybridcloud_connection	13.01
oracle_hybridcloud_connection	13.02
oracle_ias	1.0
oracle_ias	12.14
oracle_ias	12.15
oracle_ias	13.1
oracle_ias_cluster	1.0
oracle_ias_cluster	11.2
oracle_ias_farm	1.0
oracle_ias_farm	12.14
oracle_ias_farm	12.15
oracle_ias_jmx_cluster	1.0
oracle_ias_jmx_cluster	11.2
oracle_ibnetwork	1.1
oracle_ibnetwork	1.2
oracle_ibnetwork	1.3
oracle_ibnetwork	13.1
oracle_ibswitch	1.3
oracle_ibswitch	1.4
oracle_ibswitch	1.5
oracle_idm	1.0
oracle_idm_repos	12.15
oracle_idm_repos	3.0
oracle_idm_server	12.15
oracle_idm_server	3.0
oracle_idm_system	1.1
oracle_integrationbpm	12.14
oracle_integrationbpm	12.15
oracle_irm	12.15
oracle_irm	3.0
oracle_jserv	12.14
oracle_jserv	12.15
oracle_jserv	12.16
oracle_knowledge	13.23
oracle_ldap	1.0
oracle_ldap	12.14
oracle_ldap	12.15
oracle_ldap	12.16
oracle_ldap	12.17
oracle_ldap	13.01
oracle_ldap	13.41039
oracle_listener	1.0
oracle_listener	2.3
oracle_listener	2.4
oracle_listener	2.5
oracle_listener	2.6
oracle_listener	2.7
oracle_listener	2.8
oracle_oaam	12.14
oracle_oaam	12.15
oracle_oaam	13.10
oracle_oaam_cluster	12.14
oracle_oaam_cluster	12.15
oracle_oam	12.14
oracle_oam	12.15
oracle_oam	12.16
oracle_oam	13.10
oracle_oam	13.3
oracle_oam_cluster	12.14
oracle_oam_cluster	12.15
oracle_oam_cluster	12.16
oracle_oam_cluster	13.10
oracle_oam_cluster	13.3
oracle_oci_exadata_cloud_service	13.41039
oracle_odi_j2eeagent	12.14
oracle_odi_j2eeagent	12.15
oracle_odi_j2eeagent	13.10
oracle_odi_j2eeagent	13.20
oracle_odi_j2eeagent	13.20644
oracle_odi_standaloneagent	12.14
oracle_odi_standaloneagent	12.15
oracle_odi_standaloneagent	12.20
oracle_odi_standaloneagent	13.20
oracle_odi_standaloneagent	13.20644
oracle_oid	1.0
oracle_oim	12.14
oracle_oim	12.15
oracle_oim	12.16
oracle_oim	13.10
oracle_oim	13.3
oracle_oim_cluster	12.14
oracle_oim_cluster	12.15
oracle_oim_cluster	12.16
oracle_oim_cluster	13.10
oracle_oim_cluster	13.3
oracle_oms	1.0
oracle_oms	13.2
oracle_oms	13.4
oracle_oms_console	13.2
oracle_oms_console	13.4
oracle_oms_pbs	13.2
oracle_oms_pbs	13.4
oracle_otd_cluster	12.14
oracle_otd_cluster	12.16
oracle_otd_cluster	13.10
oracle_otd_cluster	13.22
oracle_otd_cluster	13.23
oracle_otd_cluster	13.30
oracle_otd_instance	12.14
oracle_otd_instance	12.15
oracle_otd_instance	12.16
oracle_otd_instance	13.10
oracle_otd_instance	13.20
oracle_ovd	12.14
oracle_ovd	12.15
oracle_ovd	12.16
oracle_ovd	13.01
oracle_ovd	13.41039
oracle_pdb	1.0
oracle_pdb	1.1
oracle_pdb	1.2
oracle_pdb	1.3
oracle_pdb	1.4
oracle_pdb	13.01
oracle_pdb	13.21
oracle_pdb	13.22
oracle_pdb	13.22751
oracle_pdb	13.32
oracle_pdb	13.40020
oracle_pdb	13.40048
oracle_pdbexpress	13.21651
oracle_pdbexpress	13.22
oracle_pdbexpress	13.31
oracle_personalization	12.14
oracle_personalization	12.15
oracle_portal	1.0
oracle_portal	12.14
oracle_portal	12.15
oracle_portal	13.10
oracle_portaltools	12.14
oracle_portaltools	12.15
oracle_repapp	12.14
oracle_repapp	12.15
oracle_repapp	13.10
oracle_repbrd	1.0
oracle_repbrd	12.15
oracle_repserv	12.14
oracle_repserv	12.15
oracle_reptools	1.0
oracle_ruei_collector	13.02
oracle_ruei_collector	13.03
oracle_ruei_processor	12.20
oracle_ruei_reporter	12.14
oracle_ruei_reporter	12.15
oracle_ruei_reporter	12.16
oracle_ruei_sys	12.14
oracle_sb_cluster	13.10
oracle_sdpmessagingdriver	12.14
oracle_sdpmessagingdriver	12.15
oracle_sdpmessagingdriver	12.16
oracle_sdpmessagingdriver	13.10
oracle_sdpmessagingdriver_email	12.14
oracle_sdpmessagingdriver_email	12.15
oracle_sdpmessagingdriver_email	12.16
oracle_sdpmessagingdriver_email	13.10
oracle_sdpmessagingdriver_proxy	12.14
oracle_sdpmessagingdriver_proxy	12.15
oracle_sdpmessagingdriver_proxy	12.16
oracle_sdpmessagingdriver_proxy	13.10
oracle_sdpmessagingdriver_smpp	12.14
oracle_sdpmessagingdriver_smpp	12.15
oracle_sdpmessagingdriver_smpp	12.16
oracle_sdpmessagingdriver_smpp	13.10
oracle_sdpmessagingdriver_voicexml	12.14
oracle_sdpmessagingdriver_voicexml	12.15
oracle_sdpmessagingdriver_voicexml	12.16
oracle_sdpmessagingdriver_voicexml	13.10
oracle_sdpmessagingdriver_worklist	12.14
oracle_sdpmessagingdriver_worklist	12.15
oracle_sdpmessagingdriver_worklist	12.16
oracle_sdpmessagingdriver_worklist	13.10
oracle_sdpmessagingdriver_xmpp	12.14
oracle_sdpmessagingdriver_xmpp	12.15
oracle_sdpmessagingdriver_xmpp	12.16
oracle_sdpmessagingdriver_xmpp	13.10
oracle_sdpmessagingserver	12.14
oracle_sdpmessagingserver	12.15
oracle_sdpmessagingserver	12.16
oracle_sdpmessagingserver	13.10
oracle_si_datalink	13.01
oracle_si_diskshelf	13.01
oracle_si_diskshelf	13.02
oracle_si_diskshelf	13.03
oracle_si_diskshelf	13.04
